song_id,playlist_id
10036,500000
10037,500000
10045,500000
10053,500000
10061,500000
10067,500000
10038,500000
10074,500000
10078,500000
10079,500000
10214,500000
10222,500000
10226,500000
10229,500000
10233,500000
10234,500000
10235,500000
10239,500000
10240,500000
10242,500000
10243,500000
10084,500001
10089,500001
10103,500001
10109,500001
10125,500001
10129,500001
10147,500001
10178,500001
10192,500001
10027,500002
10028,500002
10140,500002
10142,500002
10254,500002
10261,500002
10265,500002
10027,500003
10028,500003
10031,500003
10037,500003
10053,500003
10061,500003
10089,500003
10091,500003
10095,500003
10212,500003
