id,title,podcast_id,description,runtime_mins,release_date
75000,The Ben Simmons Saga Continues and Klutch Sports Group Remains in the Spotlight | Group Chat,5004,"Justin, Rob, and Wos are back to discuss the situation in Philadelphia",47,2021-09-01T07:00:00.000Z
75001,Are the Warriors Back? Inside the Title Race and Potential Trades With Marcus Thompson,5004,The Athletic writer joins KOC to discuss what Golden State will look like this year,67,2021-08-25T07:00:00.000Z
75002,How This Week's Patrick Beverley Trades Explain the NBA,5004,"Chris Ryan is joined by The Ringer's Rob Mahoney to discuss Patrick Beverley getting traded twice 
  in a week. Then they discuss the financial and competitive realities of several teams around the league.",43,2021-08-20T07:00:00.000Z
75003,S8E13 - Epilogue: The Life of Pablo,5001,"Yeezus brought Kanye to the church steps with his divine woman. But what happened after the vows were 
  exhanged? That's the journey of The Life of Pablo.",32,2021-06-22T07:00:00.000Z
75004,S8E12 - Finale: The YEEZUS Tour,5001,"In our Season 8 finale, we dissect the narrative and stage design of Kanye West's 2013 Yeezus Tour. 
  In this five act show, Kanye uses songs from his entire catalog to mythologize his life.",78,2021-06-15T07:00:00.000Z
75005,BONUS - Yeezus Song Draft w/ Travis Bean & Chris Lambert,5001,"Cole sits down with S8 co-writers Travis Bean and Chris Lambert for a first ever ""Song Draft -- an 
  NBA-style draft of the songs on Kanye West's Yeezus.",75,2021-06-14T07:00:00.000Z
75006,The New Look Bulls & Retooling Contenders ft. HoopsRaeven | Dishes & Dimes,5000,"Raeven is back to talk about NBA free agent signings we liked and disliked. How do these 
  BUlls fit together? Are the Lakers still the favorite in the West? Which signings were 
  head scratchers?",70,2021-08-07T07:00:00.000Z
75007,"The Milwaukee Bucks, 2021 NBA Champions ft. @HoopsRaeven | Dishes & Dimes",5000,"Raeven is back to talk about the end to the 2021 NBA season, the champion Bucks, 
  Giannis' rise as the best player in the league, and more!",47,2021-07-22T07:00:00.000Z
75008,Are the Suns Inevitable Champs? ft. @HoopsRaeven | Dishes & Dimes,5000,"Raeven is here to talk all things NBA Finals, how the Suns were able to go up 
  2-0, what is wrong with the Bucks stars, and what they need to go back in this 
  series.",38,2021-07-10T07:00:00.000Z
75009,Most Intriguing NBA Finals Storylines,5000,"We're finally back at the NBA Finals. Here are some storylines to look out for 
  as we watch some new stars take the stage!",29,2021-07-06T07:00:00.000Z
75010,"CP3's Redemption Tour, Brook Lopez aka the Bucks' Savior ft. HoopsRaeven | Dishes & Dimes",5000,"Raeven is back to talk about the Suns' journey to the finals, Game 5 of the ECF, and what 
  we will remember about this year's playoffs!",36,2021-07-03T07:00:00.000Z
75011,Potential NBA Finals Storylines | Dishes & Dimes,5000,"Christian goes into the storylines and narratives of the final four teams left in this year's 
  playoffs. The 2018 Draft, the Clippers' and Hawks' first taste of the finals, and is Giannis 
  lucky?",24,2021-06-22T07:00:00.000Z
75012,S1E11 - Drama by Dave,5002,"We've reached the end of Dave's theraputic journey, his Psychodrama. So where 
  does this journey leave us? ""Drama"" is an emotional, spiritual finale, featuring 
  the voice of Dave's brother Chris, recorded from prison. Hosted by Kayo Chingonyi.",75,2021-06-30T07:00:00.000Z
75013,S1E10 - Voices by Dave,5002,"For the penultimate track of his era-defining debut album, Dave calls on the 
  sound palette of UK Garage - a musical style born before he was - to bring a 
  sugary hit of dopamine to Psychodrama's last throes. Hosted by Kayo Chingonyi.",44,2021-06-23T07:00:00.000Z
75014,S1E9 - Lesley by Dave (feat. Ruelle),5002,"The next episode on this series of Decode delves into an 11-minute storytelling 
  epic. Track 9 ""Lesley"" takes on themes of domestic violence, mental health and 
  betrayal, featuring the haunting and cinematic voices of Ruelle. Hosted by 
  Kayo Chingonyi.",56,2021-06-16T07:00:00.000Z
75015,Drake: 'Take Care' | Vol. 1 Ep. 15,5003,"On the Volume 1 finale, Jinx and Shea discuss Drake's sophomore album, 
  ""Take Care"". They discuss which track deserves the title of Best Song 
  among ""Take Care"", ""Marvin's Room"", ""Look What You've Done"", ""Headlines"", 
  and others.",124,2021-08-19T07:00:00.000Z
75016,Clipse: 'Lord Willin'' | Vol. 1 Ep. 14,5003,"On the second-to-last episode of Volume 1, Kinx and Shea discuss 'Lord 
  Willin'', the debut studio album by rap duo Clipse. They talk about how the Virginia 
  brothers Pusha T and Malice teamed up with the Neptunes to create classics like, 
  ""Grindin'"", ""When The Last Time"", and ""Cot Damn."" ",110,2021-08-12T07:00:00.000Z
75017,Ms. Lauryn Hill: 'The Miseducation of Lauryn Hill' | Vol. 1 Ep. 13,5003,"Jinx and Shea discuss the holy grail: Ms. Lauryn Hill's Diamond-certified, 
  multi-Grammy Award-winning solo studio album, 'The Miseducation of Lauryn 
  Hill'. They talk about how she left the Grammy Award-winning group Fugees to 
  create hits like ""To Zion"", ""Doo-Wop"", and ""Ex-Factor"".",100,2021-08-05T07:00:00.000Z
